KD1,KD2,KD3,KD4,KD5,KC1,KC2,KC3,KC4,KC5,LC1,LC2,LC3,LC4,LC5,LM1,LM2,LM3,LM4,LM5,LM6,LM7,PI1,PI2,PI3,PI4,PI5,PI6,FI1,FI2,FI3,FI4,FI5,MI1,MI2,MI3,MI4,MI5,MI6,MI7,KD,KC,LC,LM,PC,FC,MC,INDUTRY,GENDER,MARRYED,EDUCATION,DUTY,AGE,CAREER,COMPANY
4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0.124,-0.066,2.172,0.716,0.798,2.078,2.315,ELECTRONIC,FEMALE,NO,UNIVERSITY,AGENT,28,1,12
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.124,-0.066,0.594,0.716,0.798,0.611,0.946,ELECTRONIC,FEMALE,YES,UNIVERSITY,AGENT,30,1,13
3,2,4,2,3,3,3,2,3,2,4,3,4,4,3,3,3,3,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,3,2,3,3,1,1,1,-1.984,-2.651,-0.046,-1.052,0.798,0.611,-1.841,ELECTRONIC,MALE,NO,UNIVERSITY,AGENT,25,4,11
4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,0.124,-0.066,0.278,-0.290,0.579,0.611,-0.023,ELECTRONIC,MALE,NO,UNIVERSITY,AGENT,28,2,12
5,5,5,5,5,4,5,5,5,5,2,3,1,1,3,2,1,1,2,1,1,2,2,2,1,1,3,1,4,2,3,3,3,2,3,1,3,3,1,2,1.905,1.443,-2.517,-2.848,-2.295,-0.860,-1.578,ELECTRONIC,MALE,NO,UNIVERSITY,AGENT,24,1,16
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,3,4,4,3,3,3,3,3,0.124,-0.066,0.594,0.716,0.137,0.041,-0.046,ELECTRONIC,MALE,NO,UNIVERSITY,AGENT,24,2,16
4,4,4,4,4,4,4,4,4,5,4,3,3,3,3,4,4,4,3,4,4,3,4,3,4,4,4,4,5,5,5,5,4,4,4,4,3,3,3,4,0.124,0.232,-0.644,0.315,0.579,1.811,0.334,ELECTRONIC,MALE,YES,UNIVERSITY,AGENT,33,4,11
4,4,5,5,5,4,5,5,4,4,4,5,5,4,4,4,5,3,3,3,4,3,4,4,4,3,4,3,5,4,4,5,4,4,5,5,4,4,4,5,1.188,0.742,1.205,0.084,0.356,1.203,1.514,ELECTRONIC,MALE,YES,UNIVERSITY,AGENT,30,1,12
5,5,5,5,4,5,5,5,5,5,3,3,3,3,3,4,4,3,3,4,3,3,3,4,2,1,1,1,4,2,3,2,1,5,3,3,3,3,3,3,1.577,1.822,-0.983,-0.081,-1.833,-1.687,-0.046,FINANCE,FEMALE,NO,UNIVERSITY,MANAGER,42,12,4
3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,4,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,2,-1.658,-1.953,-2.560,-2.876,-0.523,-0.856,-1.605,FINANCE,FEMALE,YES,UNIVERSITY,MANAGER,32,13,1
4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-0.205,-0.066,0.256,0.529,0.123,0.611,0.946,FINANCE,MALE,NO,UNIVERSITY,MANAGER,35,10,3
4,4,4,4,4,4,4,4,4,4,3,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,0.124,-0.066,-1.593,-0.668,-0.304,-0.856,-0.423,FINANCE,MALE,YES,UNIVERSITY,MANAGER,42,20,1
5,5,5,4,4,4,4,4,5,4,5,4,5,5,5,3,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.214,0.337,1.855,0.900,2.118,2.078,2.315,FINANCE,MALE,YES,UNIVERSITY,MANAGER,41,13,3
4,3,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,4,4,4,3,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,-0.575,-0.066,-0.034,-0.101,0.364,-0.563,-0.423,FINANCE,MALE,YES,UNIVERSITY,MANAGER,34,10,4
4,4,4,3,5,4,4,3,4,3,4,4,4,5,5,4,4,3,5,5,4,4,4,4,4,3,4,5,5,4,4,5,5,4,5,4,4,4,5,5,0.089,-0.764,1.223,0.933,0.786,1.470,1.562,FINANCE,MALE,YES,UNIVERSITY,MANAGER,50,16,5
5,4,5,4,5,4,5,4,5,5,4,4,5,5,4,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,4,4,5,4,3,4,3,4,1.206,1.044,1.192,2.100,0.798,1.811,0.709,FINANCE,MALE,YES,UNIVERSITY,MANAGER,38,17,6
4,5,4,5,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,5,5,4,4,4,3,4,4,4,4,3,3,0.823,0.342,0.594,0.903,1.019,1.213,0.329,FINANCE,MALE,YES,UNIVERSITY,MANAGER,52,22,6
5,4,5,4,5,5,5,4,5,5,5,5,4,5,5,5,4,4,3,5,5,5,4,4,4,3,4,3,4,4,4,4,3,4,4,3,4,1,4,4,1.206,1.422,1.878,1.292,0.356,0.344,0.223,MEDICAL,FEMALE,YES,UNIVERSITY,MANAGER,40,12,9
4,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-0.212,1.443,2.172,1.696,2.118,2.078,2.315,MEDICAL,MALE,YES,UNIVERSITY,MANAGER,37,11,9
4,2,4,4,4,4,4,4,4,4,2,2,3,3,3,2,4,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-0.547,-0.066,-1.638,-0.669,0.576,0.611,0.946,MEDICAL,MALE,YES,UNIVERSITY,MANAGER,35,2,9
4,3,4,3,3,3,4,4,4,3,4,4,3,3,3,4,3,3,2,3,4,3,3,4,3,2,4,3,4,4,3,4,4,3,3,3,4,4,4,4,-0.903,-0.743,-0.327,-0.498,-0.318,0.306,0.405,ELECTRONIC,FEMALE,NO,UNIVERSITY,MANAGER,25,1,16
4,3,4,3,3,4,4,4,4,4,3,3,3,3,3,4,4,3,3,4,3,4,3,4,3,3,3,2,4,4,4,4,3,4,4,3,3,4,3,3,-0.903,-0.066,-0.983,0.111,-0.519,0.344,0.141,ELECTRONIC,MALE,YES,UNIVERSITY,MANAGER,34,2,11
4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,3,4,3,4,3,4,3,4,4,3,3,3,-0.575,-0.066,0.278,0.336,0.583,-0.260,0.143,ELECTRONIC,MALE,YES,UNIVERSITY,MANAGER,29,4,15
3,5,3,3,5,4,4,4,4,5,3,3,4,3,3,3,4,4,4,4,4,3,4,3,4,3,4,4,3,2,5,5,3,4,4,4,4,5,4,3,-0.330,0.232,-0.689,0.336,0.352,0.037,0.916,ELECTRONIC,MALE,YES,UNIVERSITY,MANAGER,28,2,17
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,0.124,-0.066,0.594,0.127,0.798,0.611,0.548,ELECTRONIC,MALE,YES,UNIVERSITY,MANAGER,37,6,11
5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,1.905,1.822,0.594,0.903,0.368,0.611,0.946,FINANCE,FEMALE,NO,UNIVERSITY,OPERATOR,28,4,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,1.905,1.822,2.172,2.100,1.689,2.078,2.315,FINANCE,FEMALE,NO,UNIVERSITY,OPERATOR,27,2,3
